StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:55.1,07:35.3,,The user explored with different clusters,Visualization \u0x2236Circle Packing
07:35.3,10:09.2,,"The user explored with cluster_id, inject_drug,ethnicity,sexual_orientation",Visualization \u0x2236Parallel Coordinate
10:09.2,14:44.9,,"X axis: age,race,current_hiv_load,border_cross_last_year
Y axis: risk_factor_hiv,sex
Shape Size:",Visualization \u0x2236Scatter Plot Matrix
14:44.9,15:59.1,Table,The user looked at the data in the table,Visualization \u0x2236Scatter Plot Matrix
15:59.1,17:34.2,,"The user explored pie chart with age, sexual_orientation,risk_factor_hiv,inject_drug,sex_with_prostitutes,number of partners,country, border_cross_last_year",Visualization \u0x2236Pie Chart
17:34.2,18:49.3,,The user played the motion chart animation,Visualization \u0x2236Motion Chart
00:55.1,00:55.1,,New Annotation…,(null)
08:43.3,08:43.3,,,Factors\u0x2236ClusterID,InjectionDrugUse,Ethnicity,SexualOrient
11:09.1,11:09.1,,,Factors\u0x2236CurrentHIVload,Age,Numberofpartners
11:39.4,11:39.4,,,Factors\u0x2236Age,RiskfactorforHIV,Numberofpartners
16:29.0,16:29.0,,,Factors\u0x2236SexualOrient
16:31.8,16:31.8,,,Factors\u0x2236RiskfactorforHIV
16:39.4,16:39.4,,,Factors\u0x2236InjectionDrugUse
16:49.4,16:49.4,,,Factors\u0x2236SexwithProstitutes
16:52.6,16:52.6,,,Factors\u0x2236Numberofpartners
17:10.0,17:10.0,,,Factors\u0x2236Country
17:18.2,17:18.2,,,Factors\u0x2236Bordercrossingslastyear
18:07.3,18:07.3,,,Factors\u0x2236Sex,CurrentHIVload,Age,CurrentCD4count
