StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:00.0,01:10.6,,,Visualization \u0x2236Circle Packing
01:11.0,03:53.6,,,Visualization \u0x2236Parallel Coordinate
01:18.8,01:18.8,,,Factors\u0x2236ClusterID,Race,InjectionDrugUse,Birthcity,ZIP
01:45.5,01:45.5,,New Annotation…,(null)
01:44.7,01:44.7,,,Factors\u0x2236Race,Ethnicity,Sex,SexualOrient,InjectionDrugUse
03:55.5,06:02.5,,,Visualization \u0x2236Scatter Plot Matrix
04:56.2,04:56.2,,,Factors\u0x2236CurrentHIVload,Age,Numberofpartners
05:26.8,05:26.8,,,Factors\u0x2236CurrentCD4count,Age,Numberofpartners
05:45.4,05:45.4,,,Factors\u0x2236edi_date,Age,Numberofpartners
06:02.5,08:11.4,,,Visualization \u0x2236Pie Chart
06:09.3,06:09.3,,,Factors\u0x2236Age
06:20.9,06:20.9,,,Factors\u0x2236Ethnicity
06:25.5,06:25.5,,,Factors\u0x2236Sex
06:42.5,06:42.5,,,Factors\u0x2236SexualOrient
06:58.3,06:58.3,,,Factors\u0x2236RiskfactorforHIV
08:16.0,10:09.5,,,Visualization \u0x2236Motion Chart
08:29.7,08:29.7,,Y-Axis,Factors\u0x2236Numberofpartners
08:55.5,08:55.5,,Color,Factors\u0x2236CurrentHIVload
10:09.0,10:09.0,,New Annotation…,(null)
